Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Actual Result),Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Reason),Custom field (Request Type),Custom field (Score),Custom field (Score),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Team Id,Team Name,Custom field (Test Level),Custom field (Test Level),Custom field (Test Steps),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Testcase Result),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
SD1 - User accesses a path that does not exist,PS-157,10296,Testcase,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,22/Jun/24 9:23 PM,27/Jun/24 3:49 PM,15/Jul/24 3:57 PM,27/Jun/24 2:21 PM,,0,,The user accesses a link of a service that does not exist,,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,,,,,,,,,,,,,PS-91,,,,,,,,,,,,,,27/Jun/24 3:38 PM;712020:adc501f2-387b-4840-90d6-24549c140a6b;1 (ddfdb25e-e302-48b8-92ad-0b281908eae2).PNG;https://thangnt.atlassian.net/rest/api/3/attachment/content/10131,27/Jun/24 1:54 PM;712020:adc501f2-387b-4840-90d6-24549c140a6b;1.PNG;https://thangnt.atlassian.net/rest/api/3/attachment/content/10126,27/Jun/24 3:38 PM;712020:adc501f2-387b-4840-90d6-24549c140a6b;2.PNG;https://thangnt.atlassian.net/rest/api/3/attachment/content/10130,27/Jun/24 1:55 PM;712020:adc501f2-387b-4840-90d6-24549c140a6b;image-20240627-065343.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10127,,,,,,,"will receive an error message, this link does not exist in the system",,,,,,,{},,,,,,,"will receive an error message, this link does not exist in the system",,,,,,,0|i001h2:zv,,,,,PS Sprint 1,,,,,,,,,,Unit,,"Step 1: user logs into the system (User: Thoai123  / Pass: 123456)
Step 2: click on the services tab (dịch vụ)
Step 3: change the path: https://pet-spa-391.vercel.app/listService/as",,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_406691235,,,Done,27/Jun/24 2:21 PM
SU4: Verify  Email Username must be from 3 to 20 characters.,PS-156,10295,Testcase,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,18/Jun/24 7:55 PM,22/Jun/24 9:32 PM,15/Jul/24 3:57 PM,22/Jun/24 9:32 PM,,0,,,,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,0|hzzzzy:zi,,,,,,,,,,,,24297686-4906-40b0-a79e-64e3f68d5c6e,N1_NET1804,,Unit,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_351409273,,,Done,22/Jun/24 9:32 PM
BS26 - Verify Pet Weight - Pet weight should not start with a space,PS-155,10294,Bug,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,,,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,18/Jun/24 7:53 PM,22/Jun/24 9:36 PM,15/Jul/24 3:57 PM,22/Jun/24 9:36 PM,,0,,Verify that the pet weight input does not accept values that start with a space.,,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,,,,,,,,,,,,,,,,,,,,,,,,,,,20/Jun/24 11:44 AM;712020:f6e02544-91ef-470b-bfa9-afcf8378a285;Screenshot 2024-06-20 114342.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10086,,,,,,,,,,There is no error message displayed,,,,,,,{},,,,,,,The form should display an error message indicating that the pet weight should not start with a space and prevent the form from being submitted.,,,,,,,0|i001zr:,,,,,,,,,,,,,,,Unit,,"1. Login with user account
2. View detail service
3. Choose ""Booking Service"" button 
4. Input weight field with first character is space
5. Submit form",Fail,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_351762283,,,Done,22/Jun/24 9:36 PM
BS25 - Verify Pet Weight - Pet weight should not contain special characters,PS-154,10293,Bug,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,18/Jun/24 7:53 PM,22/Jun/24 9:36 PM,15/Jul/24 3:57 PM,22/Jun/24 9:36 PM,,0,booking,"When booking a pet, the weight should not contain special characters",,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,,,,,,,,,,,,,,,,,,,,,,,,,,,18/Jun/24 8:53 PM;712020:d3fdaee1-a731-44bf-9602-daee1d498329;2.jpg;https://thangnt.atlassian.net/rest/api/3/attachment/content/10083,,,,,,,,,,No results displayed,,,,,,,{},,,,,,,A message appears stating that the weight does not accept special characters.,,,,,,,0|i001zj:,,,,,,,,,,,,,,,Unit,,"1. Login with username and password below:
Username: thoai 
Password: 123456
2. Choose the service want to book
3. Click ""Đặt lịch"" button
4. Enter special characters in the weight box",Fail,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_351794169,,,Done,22/Jun/24 9:36 PM
BS24 - Verify Pet Weight - Pet weight should only contain numbers,PS-153,10292,Bug,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,18/Jun/24 7:52 PM,22/Jun/24 9:36 PM,15/Jul/24 3:57 PM,22/Jun/24 9:36 PM,,0,booking,"When booking a pet, the weight must be listed in numbers.",,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,,,,,,,,,,,,,,,,,,,,,,,,,,,18/Jun/24 8:49 PM;712020:d3fdaee1-a731-44bf-9602-daee1d498329;1.jpg;https://thangnt.atlassian.net/rest/api/3/attachment/content/10081,,,,,,,,,,No results displayed,,,,,,,{},,,,,,,A message appears stating that the weight does not accept numeric values.,,,,,,,0|i001zb:,,,,,,,,,,,,,,,Unit,,"1. Login with username and password below:
Username: thoai 
Password: 123456
2. Choose the service want to book
3. Click ""Đặt lịch"" button
4. Enter characters in the weight box",Fail,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_351825278,,,Done,22/Jun/24 9:36 PM
BS23 - Verify Pet Name - Name must not be blank,PS-152,10291,Testcase,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Vo Anh Hao (K17 HCM),712020:8a6de0f7-37ce-47de-ad83-1be1ca7887c5,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,18/Jun/24 7:52 PM,22/Jun/24 9:36 PM,15/Jul/24 3:57 PM,22/Jun/24 9:36 PM,,0,,,,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,0|i001z3:,,,,,,,,,,,,,,,Unit,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_351849248,,,Done,22/Jun/24 9:36 PM
EP19:  Telephone Number - First character can not have space,PS-151,10290,Testcase,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Vo Anh Hao (K17 HCM),712020:8a6de0f7-37ce-47de-ad83-1be1ca7887c5,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,18/Jun/24 7:52 PM,22/Jun/24 9:36 PM,15/Jul/24 3:57 PM,22/Jun/24 9:36 PM,,0,,,,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,0|i001yv:,,,,,,,,,,,,24297686-4906-40b0-a79e-64e3f68d5c6e,N1_NET1804,,,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_351894428,,,Done,22/Jun/24 9:36 PM
BS22 - Verify Timeslot  - Timeslot must be selected,PS-150,10289,Testcase,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,,,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,18/Jun/24 7:51 PM,22/Jun/24 9:34 PM,15/Jul/24 3:57 PM,22/Jun/24 9:34 PM,,0,,Ensure that the scheduling form does not allow submission without a selected timeslot. This test will verify that the form displays an appropriate error message and prevents submission when the timeslot field is left empty.,,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"An error message should be displayed, stating that a timeslot must be selected.
The form should not be submitted successfully if no timeslot is selected.",,,,,,,0|i001yn:,,,,,,,,,,,,,,,Unit,,"
1.Navigate to the application's scheduling page.
2.Find the timeslot selection dropdown or input field on the form.
3.Do not select any timeslot.
4.Click the ""Đặt lịch"" (Submit) button to try and submit the form.",,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_351763053,,,Done,22/Jun/24 9:34 PM
EP18:  Telephone Number  – Character are not allowed,PS-149,10288,Testcase,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,18/Jun/24 7:51 PM,22/Jun/24 9:36 PM,15/Jul/24 3:57 PM,22/Jun/24 9:36 PM,,0,,Ensure that the telephone number input field does not allow non-numeric characters. This test will verify that the form displays an appropriate error message and prevents submission when non-numeric characters are entered in the telephone number field.,,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,0|i001yf:,,,,,,,,,,,,24297686-4906-40b0-a79e-64e3f68d5c6e,N1_NET1804,,,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_351880689,,,Done,22/Jun/24 9:36 PM
EP17:  Telephone Number  – Special character are not allowed,PS-148,10287,Bug,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,18/Jun/24 7:51 PM,22/Jun/24 9:34 PM,15/Jul/24 3:57 PM,22/Jun/24 9:34 PM,,0,,Ensure that the validation logic for telephone numbers does not allow special characters.,,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,,,,,,,,,,,,,,,,,,,,,,,,,,,19/Jun/24 7:45 AM;712020:def5c1c0-06da-4df7-a0c5-da91aeadc572;Screenshot 2024-06-19 074446.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10085,,,,,,,,,,Not any error message display,,,,,,,{},,,,,,,An error message should be displayed indicating that the telephone number cannot contain special characters. The form should not be submitted successfully.,,,,,,,0|i001y7:,,,,,,,,,,,,24297686-4906-40b0-a79e-64e3f68d5c6e,N1_NET1804,,Unit,,"Open the Edit Profile form
Open the telephone number input field.
Enter a telephone number containing special characters (e.g., ""123-456-7890"" or ""(123)456-7890"").
Attempt to submit the form.
Verify that an error message is displayed.",Fail,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_351801536,,,Done,22/Jun/24 9:34 PM
EP16:  Email - First character can not have space,PS-147,10286,Bug,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,18/Jun/24 7:50 PM,22/Jun/24 9:34 PM,15/Jul/24 3:57 PM,22/Jun/24 9:34 PM,,0,,Ensure that the email validation logic does not allow the first character to be a space.,,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,,,,,,,,,,,,,,,,,,,,,,,,,,,19/Jun/24 7:39 AM;712020:def5c1c0-06da-4df7-a0c5-da91aeadc572;Screenshot 2024-06-19 073853.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10084,,,,,,,,,,Not display any error message,,,,,,,{},,,,,,,An error message should be displayed indicating that the first character of the email address cannot be a space. The form should not be submitted successfully.,,,,,,,0|i001xz:,,,,,,,,,,,,24297686-4906-40b0-a79e-64e3f68d5c6e,N1_NET1804,,Unit,,"Open Edit Profile form
Open the email input field.
Enter an email address starting with a space.
Attempt to submit the form.
Verify that an error message is displayed.",Fail,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_351822841,,,Done,22/Jun/24 9:34 PM
EP15 - Email - Email is not valid,PS-146,10285,Testcase,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,18/Jun/24 7:50 PM,22/Jun/24 9:36 PM,15/Jul/24 3:57 PM,22/Jun/24 9:36 PM,,0,,,,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,0|i001xr:,,,,,,,,,,,,24297686-4906-40b0-a79e-64e3f68d5c6e,N1_NET1804,,,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_351947342,,,Done,22/Jun/24 9:36 PM
SS13 - Verify search - Search character not found,PS-145,10284,Testcase,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyễn Hữu Phúc,712020:576dfde1-54b0-484a-968a-2b8d09e058d7,Nguyễn Hữu Phúc,712020:576dfde1-54b0-484a-968a-2b8d09e058d7,Nguyễn Hữu Phúc,712020:576dfde1-54b0-484a-968a-2b8d09e058d7,18/Jun/24 7:50 PM,22/Jun/24 9:31 PM,15/Jul/24 3:57 PM,22/Jun/24 9:31 PM,,0,,,,Nguyễn Hữu Phúc,712020:576dfde1-54b0-484a-968a-2b8d09e058d7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,0|hzzzzy:z,,,,,,,,,,,,24297686-4906-40b0-a79e-64e3f68d5c6e,N1_NET1804,,Unit,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_351693017,,,Done,22/Jun/24 9:31 PM
EP14 - The new password must not be the same as the old password,PS-144,10283,Testcase,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,,,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,18/Jun/24 7:49 PM,22/Jun/24 9:34 PM,15/Jul/24 3:57 PM,22/Jun/24 9:34 PM,,0,,,,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,0|i001xj:,,,,,,,,,,,,24297686-4906-40b0-a79e-64e3f68d5c6e,N1_NET1804,,,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_351891447,,,Done,22/Jun/24 9:34 PM
BS21 - Verify Date - Date must be selected,PS-143,10282,Testcase,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,18/Jun/24 7:49 PM,22/Jun/24 9:36 PM,15/Jul/24 3:57 PM,22/Jun/24 9:36 PM,,0,,,,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,0|i001xb:,,,,,,,,,,,,,,,Unit,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_352017163,,,Done,22/Jun/24 9:36 PM
BS20 - Verify Pet Type - Pet Type must be selected,PS-142,10281,Testcase,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,18/Jun/24 7:48 PM,22/Jun/24 9:34 PM,15/Jul/24 3:57 PM,22/Jun/24 9:34 PM,,0,,,,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,0|i001x3:,,,,,,,,,,,,,,,Unit,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_351947521,,,Done,22/Jun/24 9:34 PM
FS29 - Verify - Feedback must be input from 20 to 100,PS-141,10280,Testcase,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,18/Jun/24 7:48 PM,22/Jun/24 9:31 PM,15/Jul/24 3:57 PM,22/Jun/24 9:31 PM,,0,,,,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,0|hzzzzy:y,,,,,,,,,,,,24297686-4906-40b0-a79e-64e3f68d5c6e,N1_NET1804,,,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_351826268,,,Done,22/Jun/24 9:31 PM
CNS33 - Verify Pricing Table must have at least one valid entry,PS-140,10279,Testcase,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,18/Jun/24 7:48 PM,22/Jun/24 9:34 PM,15/Jul/24 3:57 PM,22/Jun/24 9:34 PM,,0,,,,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,0|i001wv:,,,,,,,,,,,,24297686-4906-40b0-a79e-64e3f68d5c6e,N1_NET1804,,Unit,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_351968131,,,Done,22/Jun/24 9:34 PM
FS28 - Verify Star rating must be selected,PS-139,10278,Testcase,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,18/Jun/24 7:47 PM,22/Jun/24 9:31 PM,15/Jul/24 3:57 PM,22/Jun/24 9:31 PM,,0,,,,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,0|hzzzzy:x,,,,,,,,,,,,24297686-4906-40b0-a79e-64e3f68d5c6e,N1_NET1804,,,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_351849289,,,Done,22/Jun/24 9:31 PM
CNS32 - Verify Tags must not be blank,PS-138,10277,Testcase,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,18/Jun/24 7:47 PM,22/Jun/24 9:34 PM,15/Jul/24 3:57 PM,22/Jun/24 9:34 PM,,0,,,,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,0|i001wn:,,,,,,,,,,,,24297686-4906-40b0-a79e-64e3f68d5c6e,N1_NET1804,,Unit,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_352003853,,,Done,22/Jun/24 9:34 PM
FS27 - Verify - Feedback must not be blank,PS-137,10276,Testcase,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,18/Jun/24 7:47 PM,22/Jun/24 9:31 PM,15/Jul/24 3:57 PM,22/Jun/24 9:31 PM,,0,,,,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,0|hzzzzy:v,,,,,,,,,,,,24297686-4906-40b0-a79e-64e3f68d5c6e,N1_NET1804,,,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_351874907,,,Done,22/Jun/24 9:31 PM
